DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Infants,Infant Health & Safety,Thermometer,Thermometer Digital For Fever,Thermometer Digital For Fever Baby,Thermometer For Fever,Thermometer For Baby,Thermometer Battery,Thermometer Digital,Thermometer With One Touch,Thermometer With Quick,Tip Digital Thermometer,,,,,,
Retail,Fashion,Infants,Infant Diapers & Toilet Training,Diaper Pants,Diaper Pants Xl,Diaper Pants Large Size,Diaper Pants Medium Size,Diaper Pants Small,Diaper Pants L,Diaper Pants M Size,Diaper Pants S Size,Diaper Pants Medium,All Round Protection Pants,Baby Pants Diapers,,,,,
Retail,Fashion,Infants,Infant Diapers & Toilet Training,Cloth Diapers & Nappiess,Cloth Diaper Nappies,Washable Reusable Pocket Cloth Diapers,Cloth Nappies For Newborn,New Born Baby Cloth Diapers,Langot Washable And Reusable Nappies,Cloth Diaper For Babies,,,,,,,,,
Retail,Fashion,Infants,Infant Diapers & Toilet Training,Diaper & Nappy Accessories,Diaper Stacker,Nappy Stacker,Plastic Hanger,Baby Diaper Nappy Clothes Hanging,Cloth Diaper Nappies,Diaper Pants Xl,Diaper Pants Large Size,Washable Reusable Pocket Cloth Diapers,,,,,,,
Retail,Fashion,Infants,Infant Diapers & Toilet Training,Potty Seat & Chair,Potty Seat Chair Style,Potty Seat Chair For Kids,Potty Seat Chair For Adults,Potty Seat Chair For Pregnant Women,Potty Seat Chair For 3 + Year Child,Potty Seat Chair For Baby,Chair Type Potty Seat For Babies,Baby Potty Seat 2-5 Year Chair,,,,,,,
Retail,Fashion,Infants,Infant Diapers & Toilet Training,Wipes & Tissues,,,,,,,,,,,,,,,
Retail,Fashion,Towels & Wrappers,Towels & Wrappers,Towels,Towels For Bath,Towels For Bath Large Size,Towels For Bath Women,Towels For Bath Women,Towels For New Born Baby,Towels For Men,Towels For Girls,Towels For Girls Wet Hair,Towels For Kids,Towels For Kids Girls,,,,,
Retail,Fashion,Towels & Wrappers,Towels & Wrappers,Face & Hand Towels,Small Towels For Face And Hand,Towels For Face And Hand,Soft Hand Towels For Face,Soft Towel For Face,Soft Towel For Face Men,Small Baby Towels For Face And Hand,Hand Towel Set,Face Towel For Women,Face Towel For Kids,,,,,,
Retail,Fashion,Towels & Wrappers,Towels & Wrappers,Girls Bath Robes,Bath Robes For Girls,Baby Bath Robes For Girls,Baby Bath Robe Towel,Cotton Bath Robes For Girls,Bath Robes For Girls Women Towel,Hooded Bath Robes For Girls,Bath Robes For Kids Girls,Bath Robes For Girls 12 Years,,,,,,,
Retail,Fashion,Towels & Wrappers,Towels & Wrappers,Boys Bath Robes,Bath Robes For Boys,Baby Bath Robes For Boys,Baby Bath Robe Towel,Cotton Bath Robes For Boys,Bath Robes For Boys Women Towel,Hooded Bath Robes For Boys,Bath Robes For Kids Boys,Bath Robes For Boys 12 Years,,,,,,,
