L3	L4	product_name	L2
Footwear	Flats	Women Grey Solid Open Toe Flats	Women's Footwear
Footwear	Flats	Women Pink Solid Pointed Toe Ballerinas	Women's Footwear
Footwear	Heels	Block Heel Sandals	Women's Footwear
Footwear	Heels	Tan Block Mules	Women's Footwear
Footwear	Flats	Women Black One Toe Flats	Women's Footwear
Footwear	Flats	Women Gold-Toned Ethnic Embellished Open Toe Flats	Women's Footwear
Footwear	Sports Shoes	Men Grey & Black STRIX M Mesh Round Toe Running Shoes	Men's Footwear
Footwear	Flats	Women Champagne Textured Ballerinas with Tassels Flats	Women's Footwear
Footwear	Sports Shoes	Men Navy Blue & Mustard Yellow Woven Upper Ealing Running Shoes	Men's Footwear
Footwear	Sports Shoes	Men Grey Mesh Walking Shoes	Men's Footwear
Footwear	Flats	Women Printed Open Toe Flats	Women's Footwear
Footwear	Flats	Women Neon Pink & Black Embellished Open Toe Flats	Women's Footwear
Footwear	Sports Shoes	Men Grey Woven Design Wonder Flex Walking Shoes	Men's Footwear
Footwear	Sports Shoes	Men Green Mesh Running Shoes	Men's Footwear
Footwear	Flats	Women Embellished Ethnic Mojaris	Women's Footwear
Footwear	Flats	Women Pink Printed Open Toe Flats	Women's Footwear
Footwear	Sports Shoes	Men Navy Blue Mesh Running Shoes	Men's Footwear
Footwear	Flats	Women Grey Embellished Mules	Women's Footwear
Footwear	Heels	Mustard Platform Peep Toes with Buckles	Women's Footwear
Footwear	Flats	Women Gold-Toned Printed Ballerinas Flats	Women's Footwear
Footwear	Sports Shoes	Men Black Running Shoes	Men's Footwear
Footwear	Sports Shoes	Men Black Running Shoes	Men's Footwear
Footwear	Sports Shoes	Men White Mesh Cricket Shoes	Men's Footwear
Footwear	Flats	Women Tan Brown & Gold-Toned Colourblocked Open Toe Flats	Women's Footwear
Footwear	Heels	Grey Printed Block Heels	Women's Footwear
Footwear	Sports Shoes	Men Black Softride Fly Walking Shoes	Men's Footwear
Footwear	Heels	White Solid Block Sandals	Women's Footwear
Footwear	Heels	Blue & Gold-Toned Woven Design Handcrafted Pumps	Women's Footwear
Footwear	Flats	Women Black Sandals	Women's Footwear
Footwear	Flats	Women Open Toe Flats	Women's Footwear
Footwear	Flats	Women Mustard Yellow Solid Open Toe Flats	Women's Footwear
Footwear	Heels	Blue Sandals	Women's Footwear
Footwear	Heels	Blue & Off White Printed Slim Heel Mules	Women's Footwear
Footwear	Heels	Gunmetal-Toned Wedge Heels	Women's Footwear
Footwear	Flats	Women Olive Green Colourblocked Mules Flats	Women's Footwear
Bottomwear	Shorts	Men Grey Regular Shorts	Men's Apparel
Bottomwear	Shorts	Men Pink Graphic Printed Slim Fit Cotton Running Shorts	Men's Apparel
Bottomwear	Shorts	Men Black & Grey Colourblocked Regular Fit Pure Cotton Shorts	Men's Apparel
Bottomwear	Shorts	Men Black Sports Shorts	Men's Apparel
Bottomwear	Shorts	550 Men Navy Blue Relaxed Tapered Fit Mid-Rise Clean Look Stretchable Jeans	Men's Apparel
Bottomwear	Shorts	Men Black Solid Regular Shorts	Men's Apparel
